Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,Break_Enter_Commercial_num,Break_Enter_Dwelling_num,Break_Enter_Other_num,Assault_Nondomestic_num,Commercial_Robbery_num,Street_Robbery_num,Theft_FROM_Vehicle_num,Theft_OF_Vehicle_num,Violence_Other_Non_domestic_num,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_0_4,age_15_19,age_20_24,age_25_34,age_35_44,age_45_54,age_5_14,age_55_64,age_65_74,age_75_plus,age_0_4_percentage_num,age_15_19_percentage_num,age_20_24_percentage_num,age_25_34_percentage_num,age_35_44_percentage_num,age_45_54_percentage_num,age_5_14_percentage_num,age_55_64_percentage_num,age_65_74_percentage_num,age_75_plus_percentage_num,total_people,total_males,total_females,total_other,male_percentage_num,female_percentage_num,other_percentage_num,Residential_Improvement_Project,Demolition,Single_Construction_Permit,Commercial_Multi_Family_Project,Environmental_Restoration_Permit,TotalPermits,calgary_cer_unemployment_rate_num,alberta_unemployment_rate_num,canada_unemployment_rate_num,calgary_cer_total_employment_000_persons_num,calgary_cer_total_employment_month_over_month_change_000_persons,calgary_cer_total_employment_year_over_year_change_000_persons,calgary_cma_average_hourly_wage_rate_num,city_of_calgary_building_permits_residential_value_num,city_of_calgary_building_permits_non_residential_value_num,calgary_city_total_housing_starts_units_num,calgary_cer_retail_sales_billions_num,calgary_cma_total_housing_starts_units,calgary_cma_inflation_rate_change,CLASS_CODE,COMM_NAME,median
BEL-AIRE,BEL,2018,390,12,CENTRE,-114.088934251566,50.999442549445,3076.92307692308,8.03168537563454,0,.2,0,0,0,0,.4,.4,0,1644.59716796875,1201.69848632812,0,30,17,18,29,62,51,91,54,29,0,7.87,4.46,4.72,7.61,16.27,13.39,23.88,14.17,7.61,381,184,197,0,48.29,51.71,0,6,3,2,0,0,11,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BEL-AIRE,1640000
BELTLINE,BLN,2018,25129,1697,CENTRE,-114.055186088861,51.0374379633598,6753.15372676987,8.81776489353459,.1188,.1188,0,.1188,.0792,.1188,.1188,.1188,.1188,252.401138305664,1374.91418457031,639,270,1949,11015,5342,2237,569,1482,950,655,2.55,1.08,7.76,43.87,21.28,8.91,2.27,5.9,3.78,2.61,25108,13040,11302,766,51.94,45.01,3.05,3,12,1,215,0,231,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BELTLINE,197500
BANFF TRAIL,BNF,2018,4153,161,CENTRE,-114.115128397169,51.0742163302423,3876.7156272574,8.26274358632394,.1356,.1356,0,.1017,0,.0508,.1864,.1525,.0678,364.362823486328,2400.7958984375,169,177,768,1090,560,383,313,328,219,140,4.08,4.27,18.52,26.28,13.5,9.24,7.55,7.91,5.28,3.38,4147,2255,1845,47,54.38,44.49,1.13,34,21,17,9,0,81,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""BANFF TRAIL""",632500
BANKVIEW,BNK,2018,5256,348,CENTRE,-114.10048318979,51.0341275275111,6621.00456621005,8.79800238458026,.1446,.1446,0,.1205,.0241,.0361,.1446,.1446,.1446,1195.24304199218,3557.62768554687,167,87,396,1868,1172,604,226,418,226,75,3.19,1.66,7.56,35.66,22.37,11.53,4.31,7.98,4.31,1.43,5239,2686,2553,0,51.27,48.73,0,10,15,8,22,0,55,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BANKVIEW,246000
BOWNESS,BOW,2018,11150,494,NORTHWEST,-114.18838847472,51.0833462877166,4430.4932735426,8.39626620526989,.1209,.1319,0,.1319,.0549,.0549,.1319,.1319,.1099,2947.01782226562,5656.6123046875,647,436,613,1964,1794,1413,1100,1536,977,652,5.81,3.92,5.51,17.64,16.12,12.69,9.88,13.8,8.78,5.86,11132,5547,5566,19,49.83,50,.17,70,22,25,23,0,140,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BOWNESS,384500
BRAESIDE,BRA,2018,5805,86,SOUTH,-114.106365902903,50.9560026912518,1481.48148148148,7.30079786709174,.0816,.1837,0,.0816,.0204,.0408,.2041,.2041,.0816,2238.37915039062,5220.638671875,362,264,288,791,991,721,602,830,597,339,6.26,4.56,4.98,13.67,17.13,12.46,10.41,14.35,10.32,5.86,5785,2842,2943,0,49.13,50.87,0,28,0,0,21,0,49,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BRAESIDE,389000
BRIDGELAND/RIVERSIDE,BRD,2018,6835,324,CENTRE,-114.035079838166,51.0505506943668,4740.30724213606,8.46385723160451,.1395,.1163,0,.1279,.0698,.0581,.1395,.1163,.1163,405.926361083984,2232.39135742187,417,98,276,1741,1216,687,432,702,682,577,6.11,1.44,4.04,25.5,17.81,10.06,6.33,10.28,9.99,8.45,6828,3273,3549,6,47.93,51.98,.09,31,11,7,29,0,78,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BRIDGELAND/RIVERSIDE,309500
BRENTWOOD,BRE,2018,7267,237,NORTHWEST,-114.135919173988,51.0960655362039,3261.31828815192,8.08988677548872,.137,.0548,0,.1233,.0685,.0959,.1644,.1507,.0822,1067.33728027343,2672.572265625,365,363,1026,1191,1113,707,639,739,545,563,5.03,5.01,14.15,16.43,15.35,9.75,8.81,10.19,7.52,7.76,7251,3646,3605,0,50.28,49.72,0,65,2,1,22,0,90,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BRENTWOOD,505500
BRIDLEWOOD,BRI,2018,12641,142,SOUTH,-114.110226175493,50.8992571737659,1123.32885056562,7.02405174407593,.1429,.0952,0,.127,.0159,0,.1905,.1905,.127,2891.43701171875,3660.81030273437,918,888,627,1621,2533,1953,2054,1142,622,257,7.28,7.04,4.97,12.85,20.08,15.48,16.28,9.05,4.93,2.04,12615,6209,6399,7,49.22,50.73,.06,52,0,0,7,0,59,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BRIDLEWOOD,379000
BRITANNIA,BRT,2018,690,38,CENTRE,-114.086277381537,51.0126440038004,5507.24637681159,8.61382002710531,.1304,.2609,0,.0435,0,0,.4348,.087,.0435,1826.20080566406,1942.41296386718,8,51,43,49,55,103,74,151,109,42,1.17,7.45,6.28,7.15,8.03,15.04,10.8,22.04,15.91,6.13,685,340,345,0,49.64,50.36,0,7,4,3,2,0,16,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BRITANNIA,1560000
BELVEDERE,BVD,2018,41,8,EAST,-113.904983034863,51.0378274702464,19512.1951219512,9.87879493994576,.125,0,0,.125,.125,0,.5,.125,0,5832.6357421875,6402.22900390625,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,0,0,0,0, , , ,0,0,0,5,0,5,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BELVEDERE,590500
BAYVIEW,BYV,2018,751,19,SOUTH,-114.113964313467,50.9746347557788,2529.96005326232,7.83595879237253,.0667,.1333,0,0,0,0,.4667,.1333,.1333,2804.05834960937,3896.88891601562,14,71,45,40,99,95,96,120,109,62,1.86,9.45,5.99,5.33,13.18,12.65,12.78,15.98,14.51,8.26,751,359,392,0,47.8,52.2,0,7,1,1,4,0,13,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,BAYVIEW,1000000
CAMBRIAN HEIGHTS,CAM,2018,2036,74,CENTRE,-114.089378965235,51.0843391720496,3634.57760314342,8.19824818050398,.0732,.1951,0,.0732,0,0,.2439,.2195,.0488,2403.767578125,966.405334472656,102,91,141,304,266,292,223,329,149,135,5.02,4.48,6.94,14.96,13.09,14.37,10.97,16.19,7.33,6.64,2032,1024,1008,0,50.39,49.61,0,26,8,9,2,0,45,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CAMBRIAN HEIGHTS""",580500
CANYON MEADOWS,CAN,2018,7624,139,SOUTH,-114.082006345884,50.9409572086354,1823.18992654774,7.50834295276688,.1071,.125,0,.1429,0,.0357,.2143,.1607,.1071,1083.84582519531,4238.6943359375,379,396,433,1064,1159,1020,773,1150,806,426,4.98,5.21,5.69,13.99,15.24,13.41,10.16,15.12,10.6,5.6,7606,3820,3786,0,50.22,49.78,0,36,0,0,10,0,46,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CANYON MEADOWS""",432000
CAPITOL HILL,CAP,2018,4744,225,CENTRE,-114.094631179709,51.0726652784325,4742.83305227656,8.46438992649709,.1618,.0588,0,.1471,.0294,.0147,.1765,.1618,.1029,1054.19775390625,2118.90844726562,276,158,460,1061,813,528,450,523,281,175,5.84,3.34,9.74,22.46,17.21,11.17,9.52,11.07,5.95,3.7,4725,2492,2233,0,52.74,47.26,0,52,17,28,14,0,111,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CAPITOL HILL""",568000
CARRINGTON,CAR,2018,572,7,NORTH,-114.088765441169,51.1856882612179,1223.77622377622,7.10969662264574,.1429,.2857,0,.1429,0,0,.2857,.1429,0,10042.783203125,6946.60498046875,60,24,30,124,127,55,80,40,19,7,10.6,4.24,5.3,21.91,22.44,9.72,14.13,7.07,3.36,1.24,566,282,275,9,49.82,48.59,1.59,35,0,232,14,0,281,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CARRINGTON,398250
CASTLERIDGE,CAS,2018,6127,127,NORTHEAST,-113.961029731958,51.1052541345347,2072.79255753223,7.63665203870316,.0741,.0926,0,.1667,.0185,.0741,.2037,.2222,.1111,1112.13903808593,1016.38415527343,357,393,483,972,1101,726,909,622,403,144,5.84,6.43,7.91,15.91,18.02,11.88,14.88,10.18,6.6,2.36,6110,3117,2928,65,51.01,47.92,1.06,15,2,2,3,0,22,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CASTLERIDGE,322000
CEDARBRAE,CED,2018,6094,77,SOUTH,-114.129621601538,50.9581994549861,1263.53790613718,7.14167092727826,.0213,.1489,0,.2128,0,.0851,.2128,.0426,.1277,3783.6748046875,6046.5546875,351,265,280,845,956,764,725,882,695,315,5.77,4.36,4.61,13.9,15.73,12.57,11.93,14.51,11.43,5.18,6078,2983,3089,6,49.08,50.82,.1,17,0,0,5,0,22,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CEDARBRAE,370500
COUGAR RIDGE,CGR,2018,6997,83,WEST,-114.209079810301,51.0718808513961,1186.22266685722,7.07852930802093,.0571,.2857,0,.0286,.0286,.0286,.2286,.1714,.1429,4094.20336914062,5509.4033203125,497,481,281,732,1412,1248,1480,539,234,75,7.12,6.89,4.03,10.49,20.23,17.88,21.21,7.72,3.35,1.07,6979,3473,3506,0,49.76,50.24,0,39,0,1,2,0,42,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""COUGAR RIDGE""",564750
CHAPARRAL,CHA,2018,12654,151,SOUTH,-114.025668761758,50.8846724611395,1193.29856171961,7.08447665207832,.0833,.2083,0,.0833,0,.0208,.25,.25,.0833,3436.30102539062,3411.56030273437,676,1132,720,1161,2071,2342,2232,1324,668,310,5.35,8.96,5.7,9.19,16.39,18.53,17.66,10.48,5.29,2.45,12636,6284,6342,10,49.73,50.19,.08,51,1,0,3,0,55,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CHAPARRAL,473000
CHINOOK PARK,CHK,2018,1662,35,SOUTH,-114.088993953462,50.9832280937184,2105.89651022864,7.65249655104425,.08,.12,0,.08,0,0,.44,.16,.04,1184.17846679687,1997.93725585937,66,110,101,121,207,219,183,272,196,180,3.99,6.65,6.1,7.31,12.51,13.23,11.06,16.44,11.84,10.88,1655,805,850,0,48.64,51.36,0,19,1,0,2,0,22,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CHINOOK PARK""",703250
CHINATOWN,CHN,2018,2471,58,CENTRE,-114.065521905792,51.0528235945473,2347.22784297855,7.76099026952804,.3548,0,0,.1613,0,.0323,.3226,.0323,.0645,487.494110107421,2796.67016601562,49,23,96,524,571,246,37,220,201,494,1.99,.93,3.9,21.29,23.2,10,1.5,8.94,8.17,20.07,2461,1205,1250,6,48.96,50.79,.24,0,0,0,24,0,24,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CHINATOWN,286750
CHRISTIE PARK,CHR,2018,2128,52,WEST,-114.176017568274,51.04079952919,2443.60902255639,7.80123133309012,0,.3,0,.2,0,0,.3,.2,0,557.419067382812,1745.20336914062,68,131,125,143,198,249,210,373,296,328,3.21,6.18,5.89,6.74,9.34,11.74,9.9,17.59,13.96,15.46,2121,1006,1115,0,47.43,52.57,0,14,0,0,1,0,15,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CHRISTIE PARK""",671000
COUNTRY HILLS VILLAGE,CHV,2018,2597,91,NORTH,-114.06139543185,51.1582038483043,3504.04312668464,8.16167275982433,.1887,.0377,0,.1321,0,.1321,.1509,.1887,.1321,7926.13037109375,4360.63232421875,112,77,100,406,374,279,160,261,413,407,4.33,2.97,3.86,15.68,14.45,10.78,6.18,10.08,15.95,15.72,2589,1175,1414,0,45.38,54.62,0,2,0,0,18,0,20,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""COUNTRY HILLS VILLAGE""",199500
CHARLESWOOD,CHW,2018,3569,84,NORTHWEST,-114.112212315402,51.0900880501634,2353.60044830485,7.76370154032338,.1463,.0732,0,.0732,0,.0244,.2683,.1707,.0488,617.233642578125,1784.65942382812,184,166,271,414,520,448,412,506,360,275,5.17,4.67,7.62,11.64,14.62,12.6,11.59,14.23,10.12,7.73,3556,1862,1694,0,52.36,47.64,0,43,3,3,2,0,51,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CHARLESWOOD,592000
CITADEL,CIT,2018,10077,85,NORTHWEST,-114.183936932944,51.1445387591365,843.505011412127,6.73756584318014,.0698,.2093,0,.0698,0,0,.2093,.2326,.1163,2922.041015625,8540.134765625,546,767,591,1182,1635,1769,1395,1315,616,248,5.43,7.62,5.87,11.74,16.25,17.58,13.86,13.07,6.12,2.46,10064,4970,5074,20,49.38,50.42,.2,44,1,0,3,0,48,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CITADEL,445000
CLIFF BUNGALOW,CLI,2018,1895,178,CENTRE,-114.074901655967,51.0339331947423,9393.13984168865,9.14773489774579,.1719,.0469,0,.1406,.0625,.0469,.1719,.1719,.125,1137.97912597656,2550.94384765625,41,29,166,758,390,164,55,125,98,45,2.19,1.55,8.87,40.51,20.84,8.77,2.94,6.68,5.24,2.41,1871,929,942,0,49.65,50.35,0,4,1,0,14,0,19,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CLIFF BUNGALOW""",271250
CORNERSTONE,CNS,2018,2648,17,NORTHEAST,-113.930570525628,51.1573599670428,641.993957703928,6.46457889196955,.2143,.0714,0,0,0,0,.3571,.1429,.1429,3727.13793945312,3785.67919921875,217,128,125,607,593,261,332,245,118,8,8.24,4.86,4.75,23.04,22.51,9.91,12.6,9.3,4.48,.3,2634,1409,1225,0,53.49,46.51,0,127,0,249,4,0,380,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CORNERSTONE,293500
COACH HILL,COA,2018,3244,61,WEST,-114.182979605187,51.0583858250858,1880.39457459926,7.53923691390824,.0625,.25,0,.0313,0,0,.3125,.1563,.1563,2325.0224609375,3148.5498046875,177,129,131,366,555,418,372,473,397,212,5.48,3.99,4.06,11.33,17.18,12.94,11.52,14.64,12.29,6.56,3230,1512,1711,7,46.81,52.97,.22,17,0,0,2,0,19,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""COACH HILL""",373000
COLLINGWOOD,COL,2018,2249,89,NORTHWEST,-114.102403622274,51.083509905664,3957.31436193864,8.28332088274305,.1111,.0444,0,.0889,.0444,.0222,.2222,.2222,.0667,1509.69360351562,963.757385253906,95,101,147,256,322,290,274,365,220,173,4.24,4.5,6.55,11.41,14.36,12.93,12.22,16.27,9.81,7.71,2243,1121,1122,0,49.98,50.02,0,33,1,4,7,0,45,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,COLLINGWOOD,582000
CORAL SPRINGS,COR,2018,5801,85,NORTHEAST,-113.926948486479,51.103352770689,1465.26460955008,7.28979112599448,.027,.1622,0,.0811,0,.0811,.3243,.2432,.0811,2898.00610351562,2651.96044921875,249,384,420,807,795,761,685,883,543,263,4.3,6.63,7.25,13.94,13.73,13.14,11.83,15.25,9.38,4.54,5790,2959,2831,0,51.11,48.89,0,20,0,0,3,0,23,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""CORAL SPRINGS""",476500
COUNTRY HILLS,COU,2018,3767,47,NORTH,-114.079893774799,51.1437756831102,1247.67719670826,7.12903885898825,.1724,.1724,0,.0345,0,.0345,.2414,.1724,.069,7206.63720703125,4663.44482421875,193,231,238,437,589,611,439,494,339,186,5.14,6.15,6.33,11.63,15.68,16.26,11.68,13.15,9.02,4.95,3757,1842,1915,0,49.03,50.97,0,8,2,1,5,0,16,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""COUNTRY HILLS""",371000
COVENTRY HILLS,COV,2018,17667,198,NORTH,-114.053143406974,51.1649063302995,1120.7335710647,7.02173872405208,.0645,.1774,0,.0968,.0323,.0161,.1935,.1774,.1129,7931.32958984375,4451.2021484375,1286,1255,992,2570,3432,2748,3033,1424,695,227,7.28,7.11,5.62,14.55,19.43,15.56,17.17,8.06,3.94,1.29,17662,8870,8664,128,50.22,49.05,.72,85,1,2,6,0,94,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,"""COVENTRY HILLS""",401000
COPPERFIELD,CPF,2018,13823,160,SOUTHEAST,-113.929459756875,50.9178127936338,1157.49113795847,7.0540101297397,.1613,.1452,0,.0968,0,0,.1935,.1935,.1129,9926.171875,9193.56640625,1357,642,605,3008,3116,1494,2317,789,378,99,9.83,4.65,4.38,21.79,22.57,10.82,16.78,5.72,2.74,.72,13805,6963,6828,14,50.44,49.46,.1,112,0,21,6,0,139,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,COPPERFIELD,359000
CRANSTON,CRA,2018,19884,157,SOUTHEAST,-113.979991517887,50.8782023899029,789.579561456447,6.67150060310397,.1071,.1429,0,.125,0,.0179,.2143,.1964,.1071,6661.673828125,6412.4404296875,1550,1058,750,2908,3953,2748,3476,1898,1163,347,7.81,5.33,3.78,14.65,19.91,13.84,17.51,9.56,5.86,1.75,19851,9874,9970,7,49.74,50.22,.04,129,0,140,20,0,289,.076,.0665,.0595,862.85,1.25,15.55,32.05,221901375.17,124359547.57,717.5,2.69771809555185,835,.0246,1,CRANSTON,441500
